Drug	ATC	out	test_label
1869	0	0.8662464022636414	1.0
1869	35	0.4751541018486023	1.0
1869	38	0.7929914593696594	1.0
1869	78	0.6171703934669495	1.0
1870	0	0.7803218364715576	1.0
1871	10	0.9799643754959106	1.0
1871	11	0.9975001215934753	1.0
1872	11	0.9500471949577332	1.0
1873	5	0.9954593777656555	1.0
1873	11	0.9542140960693359	1.0
1873	17	0.1794443130493164	1.0
1874	28	0.9177047610282898	1.0
1875	35	0.46606510877609253	1.0
1876	35	0.7876989841461182	1.0
1877	35	0.7413576245307922	1.0
1877	72	0.6218454241752625	1.0
1878	11	0.9972834587097168	1.0
1878	38	0.2599901854991913	1.0
1879	11	0.7179689407348633	1.0
1880	0	0.6619592308998108	1.0
1880	35	0.30470937490463257	1.0
1880	39	0.16968901455402374	1.0
1880	72	0.7772183418273926	1.0
1881	83	0.9429978728294373	1.0
1882	69	0.4730031192302704	1.0
1883	32	0.7640771865844727	1.0
1884	77	0.990580141544342	1.0
1885	77	0.9473502039909363	1.0
1886	74	0.913303017616272	1.0
1887	10	0.5200001001358032	1.0
1888	16	0.9686043858528137	1.0
1889	31	0.8470779657363892	1.0
1889	71	0.7350503206253052	1.0
1889	75	0.535440981388092	1.0
1890	11	0.9283894896507263	1.0
1890	23	0.9963656663894653	1.0
1891	72	0.734515368938446	1.0
1892	70	0.8876170516014099	1.0
1893	2	0.9918791651725769	1.0
1893	77	0.5786511898040771	1.0
1894	78	0.8344853520393372	1.0
1895	37	0.7250297665596008	1.0
1896	10	0.9844600558280945	1.0
1896	11	0.9842172861099243	1.0
1897	14	0.6093276739120483	1.0
1898	51	0.9890630841255188	1.0
1899	53	0.5036044120788574	1.0
1900	5	0.993176281452179	1.0
1901	53	0.43468669056892395	1.0
1902	47	0.9802991151809692	1.0
1903	28	0.8835956454277039	1.0
1904	61	0.9808465838432312	1.0
1905	3	0.4659421443939209	1.0
1906	61	0.9885638952255249	1.0
1907	69	0.919551432132721	1.0
1908	69	0.9817890524864197	1.0
1909	69	0.8060632348060608	1.0
1910	47	0.9798517823219299	1.0
1911	69	0.9230769872665405	1.0
1912	33	0.9596801400184631	1.0
1913	80	0.6167694330215454	1.0
1914	77	0.9606746435165405	1.0
1915	51	0.9104982614517212	1.0
1916	58	0.6845212578773499	1.0
1917	35	0.7706095576286316	1.0
1918	36	0.5066413879394531	1.0
1918	59	0.9267123937606812	1.0
1919	50	0.9861639142036438	1.0
1920	50	0.9941307902336121	1.0
1921	83	0.9745293259620667	1.0
1922	81	0.723783552646637	1.0
1923	51	0.9896586537361145	1.0
1924	57	0.7974978089332581	1.0
1925	66	0.8544068932533264	1.0
1926	50	0.9963474869728088	1.0
1927	35	0.851233720779419	1.0
1928	75	0.9359204173088074	1.0
1929	0	0.6839466691017151	1.0
1930	80	0.938003420829773	1.0
1931	74	0.6109575033187866	1.0
1932	77	0.9728873372077942	1.0
1933	50	0.9973359704017639	1.0
1934	75	0.9519472718238831	1.0
1935	51	0.9894054532051086	1.0
1936	51	0.9799813628196716	1.0
1937	51	0.9273533225059509	1.0
1938	41	0.996385931968689	1.0
1939	83	0.6986566185951233	1.0
1940	51	0.911746621131897	1.0
1941	64	0.3617827892303467	1.0
1942	48	0.9604839086532593	1.0
1943	41	0.9961016178131104	1.0
1944	49	0.978304386138916	1.0
1945	68	0.9924710988998413	1.0
1946	67	0.5856521129608154	1.0
1947	51	0.9983353018760681	1.0
1948	67	0.7377821207046509	1.0
1949	67	0.6592821478843689	1.0
1950	1	0.9044123291969299	1.0
1951	77	0.9886426329612732	1.0
1952	2	0.9584662914276123	1.0
1953	51	0.9457007646560669	1.0
1954	5	0.6491213440895081	1.0
1955	54	0.9798544049263	1.0
1956	6	0.8902363181114197	1.0
1957	9	0.9959010481834412	1.0
1958	3	0.7292840480804443	1.0
1959	50	0.8119493126869202	1.0
1960	51	0.991727352142334	1.0
1961	83	0.8449857831001282	1.0
1962	76	0.9677892923355103	1.0
1963	51	0.9153062701225281	1.0
1964	51	0.5753152966499329	1.0
1965	51	0.9546363353729248	1.0
1966	81	0.9738466739654541	1.0
1966	83	0.8159695267677307	1.0
1967	51	0.8309890031814575	1.0
1968	20	0.9967759251594543	1.0
1969	1	0.9931747317314148	1.0
1970	75	0.8642519116401672	1.0
1971	10	0.5351292490959167	1.0
1972	34	0.9971998929977417	1.0
1973	6	0.9147294759750366	1.0
1973	33	0.6757310628890991	1.0
1973	49	0.9944486618041992	1.0
1973	77	0.7847412824630737	1.0
1973	78	0.7000331878662109	1.0
1974	51	0.7512810230255127	1.0
1975	24	0.9951270818710327	1.0
1976	47	0.9966018199920654	1.0
1977	26	0.9957624077796936	1.0
1978	51	0.9528381824493408	1.0
1979	60	0.4788462221622467	1.0
1980	50	0.9887008666992188	1.0
1981	51	0.7982611060142517	1.0
1982	50	0.9602963328361511	1.0
1983	54	0.9815966486930847	1.0
1984	68	0.9647328853607178	1.0
1985	61	0.9683590531349182	1.0
1985	66	0.9892339706420898	1.0
1986	9	0.9883385896682739	1.0
1987	51	0.9950897693634033	1.0
1988	84	0.948172390460968	1.0
1989	44	0.07575435191392899	1.0
1990	51	0.3259093463420868	1.0
1991	19	0.991356372833252	1.0
1992	73	0.9485548138618469	1.0
1993	17	0.8952324986457825	1.0
1994	47	0.9960272312164307	1.0
1995	52	0.9909830093383789	1.0
1996	51	0.9650893807411194	1.0
1997	67	0.6854736804962158	1.0
1998	44	0.9969491362571716	1.0
1999	47	0.994723916053772	1.0
2000	27	0.8102824687957764	1.0
2001	51	0.6967577338218689	1.0
2002	47	0.9879745244979858	1.0
2003	51	0.9780642986297607	1.0
2004	51	0.7906557321548462	1.0
2005	51	0.8507828116416931	1.0
2006	43	0.14079099893569946	1.0
2007	51	0.988681435585022	1.0
2008	68	0.9181145429611206	1.0
2009	55	0.418523371219635	1.0
2010	15	0.5833391547203064	1.0
2011	53	0.7004327774047852	1.0
2012	51	0.953543484210968	1.0
2013	51	0.9955180287361145	1.0
2014	15	0.46152761578559875	1.0
2015	51	0.9507358074188232	1.0
2016	50	0.660685122013092	1.0
2017	50	0.9911423921585083	1.0
2018	47	0.9249039888381958	1.0
2019	50	0.9945859909057617	1.0
2020	1	0.8562397360801697	1.0
2021	77	0.9255576133728027	1.0
2022	73	0.8500833511352539	1.0
2023	47	0.9395826458930969	1.0
2024	22	0.9911132454872131	1.0
2025	47	0.9970506429672241	1.0
2026	51	0.9692962765693665	1.0
2027	66	0.8983069658279419	1.0
2028	51	0.9626306295394897	1.0
2029	66	0.6326313614845276	1.0
2030	55	0.9260716438293457	1.0
2031	68	0.9404482245445251	1.0
2032	66	0.9880024194717407	1.0
2033	47	0.8995426893234253	1.0
2034	24	0.995665967464447	1.0
2035	32	0.9760346412658691	1.0
2036	21	0.9916462302207947	1.0
2037	50	0.8686915636062622	1.0
2038	67	0.9292537569999695	1.0
2039	69	0.563808262348175	1.0
2040	73	0.9879990816116333	1.0
2041	2	0.7939139008522034	1.0
2042	68	0.9399192333221436	1.0
2043	51	0.9712719917297363	1.0
2044	42	0.9822063446044922	1.0
2045	62	0.8044067025184631	1.0
2046	50	0.85837721824646	1.0
2047	19	0.9940283298492432	1.0
2048	58	0.6107551455497742	1.0
2049	47	0.9310432076454163	1.0
2050	51	0.9445457458496094	1.0
2051	63	0.9880748391151428	1.0
2052	47	0.9969248175621033	1.0
2053	14	0.9949482679367065	1.0
2054	54	0.15729248523712158	1.0
2055	55	0.9546076655387878	1.0
2056	65	0.9888831973075867	1.0
2057	65	0.987565815448761	1.0
2058	83	0.9315153956413269	1.0
2059	9	0.9965484738349915	1.0
2060	37	0.8896932601928711	1.0
2061	47	0.8333852291107178	1.0
2062	51	0.9599433541297913	1.0
2063	20	0.724897027015686	1.0
2064	50	0.9829691052436829	1.0
2065	74	0.7814618349075317	1.0
2066	17	0.9605569243431091	1.0
2067	41	0.9963349103927612	1.0
2068	64	0.945371687412262	1.0
2069	51	0.9952007532119751	1.0
2070	41	0.9966365098953247	1.0
2071	62	0.9942581653594971	1.0
2072	51	0.9532954096794128	1.0
2073	75	0.9305871725082397	1.0
2074	23	0.9890671372413635	1.0
2075	14	0.9412845373153687	1.0
2076	2	0.994625985622406	1.0
2077	47	0.9965294003486633	1.0
2078	54	0.9016251564025879	1.0
2079	47	0.9902294278144836	1.0
2080	35	0.8842130899429321	1.0
2080	39	0.9444723725318909	1.0
2080	72	0.8451446890830994	1.0
2081	9	0.995457649230957	1.0
2082	20	0.8043855428695679	1.0
2083	49	0.9303054809570312	1.0
2084	54	0.9765824675559998	1.0
2085	40	0.5849675536155701	1.0
2086	65	0.9926376342773438	1.0
2087	9	0.9959402084350586	1.0
2088	21	0.9759751558303833	1.0
2089	1	0.9946183562278748	1.0
2090	12	0.7953526973724365	1.0
2091	40	0.49066877365112305	1.0
2092	50	0.9348689317703247	1.0
2093	37	0.8120060563087463	1.0
2094	47	0.9708356261253357	1.0
2095	49	0.9280986189842224	1.0
2096	51	0.9717110991477966	1.0
2097	47	0.9367716908454895	1.0
2097	68	0.960383951663971	1.0
2098	13	0.6614910960197449	1.0
2099	73	0.9833955764770508	1.0
2100	68	0.9598149657249451	1.0
2101	46	0.4278126060962677	1.0
2102	65	0.9894355535507202	1.0
2103	51	0.9126594662666321	1.0
2104	75	0.9405268430709839	1.0
2105	51	0.988964319229126	1.0
2106	25	0.9875293970108032	1.0
2107	33	0.6184654235839844	1.0
2108	19	0.5490288138389587	1.0
